2016-08-23,TRV,116.95,19.64%,97.18,119.30,2.33%,11.26,11.87,2.73,1.26,1.37,33.71B,3.85B,8.75584415584,6.55,"The Travelers Companies, Inc. (TRV)"
2016-08-23,UNH,142.09,29.20%,107.51,144.48,1.37%,22.24,15.68,1.20,0.77,3.71,135.33B,10.31B,13.1260911736,11.96,UnitedHealth Group Incorporated (UNH)
2016-08-23,UTX,108.50,22.18%,83.39,109.83,2.31%,12.80,15.75,2.00,1.62,3.14,90.81B,3.59B,25.295264624,10.47,United Technologies Corporation (UTX)
2016-08-23,V,81.06,21.04%,66.12,81.73,0.67%,34.45,24.42,1.81,13.20,7.01,191.37B,4.86B,39.3765432099,20.22,Visa Inc. (V)
2016-08-23,VZ,52.55,20.80%,42.20,56.95,4.52%,14.84,13.04,4.16,1.64,11.11,214.21B,32.85B,6.52085235921,6.79,Verizon Communications Inc. (VZ)
2016-08-23,WMT,72.70,15.21%,56.30,75.19,2.50%,15.65,16.23,5.11,0.47,2.96,226.58B,32.22B,7.03227808814,7.94,Wal-Mart Stores Inc. (WMT)
2016-08-23,XOM,87.99,28.06%,68.20,95.55,2.79%,34.94,20.14,1.92,1.77,2.13,364.86B,22.88B,15.9466783217,16.23,Exxon Mobil Corporation (XOM)
2016-08-24,AAPL,108.85,-0.77%,89.47,123.82,N/A,12.69,12.22,1.68,2.65,4.62,586.53B,63.17B,9.28494538547,8.23,Apple Inc. (AAPL)
2016-08-24,AXP,65.68,-13.16%,50.27,78.40,1.32%,11.62,11.86,1.54,1.95,2.92,60.67B,9.88B,6.14068825911,N/A,American Express Company (AXP)
2016-08-24,BA,134.14,3.71%,102.10,150.59,2.25%,24.15,13.91,1.91,0.87,144.37,83.68B,10.44B,8.0153256705,10.86,The Boeing Company (BA)
2016-08-24,CAT,84.01,13.73%,56.36,84.73,2.73%,56.01,23.60,2.32,1.17,3.21,49.08B,6.12B,8.01960784314,14.54,Caterpillar Inc. (CAT)
2016-08-24,CSCO,30.98,20.64%,22.46,31.25,2.42%,14.68,12.10,1.37,3.13,2.42,155.82B,13.57B,11.4826823876,7.92,"Cisco Systems, Inc. (CSCO)"
2016-08-24,CVX,101.68,39.12%,70.95,107.58,3.59%,N/A,21.59,2.75,1.84,1.31,191.82B,13.59B,14.114790287,15.48,Chevron Corporation (CVX)
2016-08-24,DD,70.44,39.04%,47.11,75.72,3.02%,28.02,19.09,2.71,2.48,6.05,61.59B,2.86B,21.534965035,15.52,E. I. du Pont de Nemours and Company (DD)
2016-08-24,DIS,95.97,-3.29%,86.25,120.65,1.25%,17.25,15.76,1.54,2.75,3.69,154.23B,12.71B,12.1345397325,9.88,The Walt Disney Company (DIS)
2016-08-24,GE,31.23,30.07%,23.27,33.00,3.24%,26.38,18.16,1.67,2.30,3.30,279.86B,4.59B,60.9716775599,24.06,General Electric Company (GE)
2016-08-24,GS,166.08,-9.93%,138.20,199.90,1.34%,15.74,9.69,0.66,2.50,0.94,70.82B,13.74B,5.15429403202,N/A,"The Goldman Sachs Group, Inc. (GS)"
2016-08-24,HD,136.22,17.50%,109.62,139.00,1.97%,23.06,18.97,1.52,1.82,25.11,169.46B,10.32B,16.4205426357,12.71,"The Home Depot, Inc. (HD)"
2016-08-24,IBM,160.26,9.24%,116.90,164.95,2.28%,13.03,11.36,4.16,1.91,9.72,153.18B,18.60B,8.23548387097,10.41,International Business Machines Corporation (IBM)
2016-08-24,INTC,35.40,29.67%,26.08,35.93,3.27%,17.17,12.97,2.82,2.95,2.72,167.48B,19.06B,8.7869884575,7.92,Intel Corporation (INTC)
2016-08-24,JNJ,119.44,25.58%,89.90,126.07,2.98%,22.26,16.80,2.74,4.60,4.50,326.77B,17.69B,18.4720180893,13.47,Johnson &amp; Johnson (JNJ)
2016-08-24,JPM,65.77,4.55%,52.50,69.03,2.58%,11.15,10.59,2.62,2.70,1.05,237.53B,18.38B,12.9232861806,N/A,JPMorgan Chase &amp; Co. (JPM)
2016-08-24,KO,43.85,13.22%,37.84,47.13,2.83%,25.23,21.82,7.65,4.37,7.09,189.26B,9.23B,20.5048754063,17.82,The Coca-Cola Company (KO)
2016-08-24,MCD,115.19,21.06%,91.47,131.96,3.10%,22.00,18.76,2.22,3.92,153.89,98.30B,6.32B,15.5537974684,13.30,McDonald's Corp. (MCD)
2016-08-24,MMM,179.77,25.96%,134.64,182.27,2.37%,22.94,20.36,2.45,3.60,9.10,108.65B,6.55B,16.5877862595,13.76,3M Company (MMM)
2016-08-24,MRK,63.58,16.83%,47.97,64.00,3.53%,34.88,16.56,2.69,4.46,4.05,175.81B,11.21B,15.6833184657,13.02,"Merck &amp; Co., Inc. (MRK)"
2016-08-24,MSFT,57.89,35.54%,41.06,58.50,2.60%,27.57,17.98,2.34,5.27,6.25,451.11B,33.32B,13.5387154862,14.43,Microsoft Corporation (MSFT)
2016-08-24,NKE,59.62,9.64%,51.48,68.19,1.19%,27.60,21.60,1.76,3.04,8.05,100.04B,3.10B,32.2709677419,18.72,"NIKE, Inc. (NKE)"
2016-08-24,PFE,35.09,8.20%,28.25,37.39,3.42%,31.11,13.24,2.13,4.04,3.37,212.84B,14.97B,14.2177688711,11.89,Pfizer Inc. (PFE)
2016-08-24,PG,87.40,23.27%,67.33,87.57,3.15%,23.66,20.81,3.33,3.55,4.12,233.25B,15.44B,15.106865285,14.44,The Procter &amp; Gamble Company (PG)
2016-08-24,TRV,116.63,16.63%,97.18,119.30,2.33%,11.23,11.84,2.73,1.25,1.36,33.62B,3.85B,8.73246753247,6.54,"The Travelers Companies, Inc. (TRV)"
2016-08-24,UNH,142.01,25.16%,107.51,144.48,1.37%,22.22,15.67,1.20,0.77,3.71,135.25B,10.31B,13.1183317168,11.96,UnitedHealth Group Incorporated (UNH)
2016-08-24,UTX,108.00,17.96%,83.39,109.83,2.31%,12.74,15.67,1.99,1.61,3.12,90.39B,3.59B,25.1782729805,10.43,United Technologies Corporation (UTX)
2016-08-24,V,80.80,14.30%,66.12,81.76,0.67%,34.34,24.34,1.80,13.29,7.06,190.75B,4.86B,39.2489711934,20.16,Visa Inc. (V)
2016-08-24,VZ,52.63,16.54%,42.20,56.95,4.52%,14.87,13.06,4.16,1.65,11.13,214.54B,32.85B,6.53089802131,6.80,Verizon Communications Inc. (VZ)
2016-08-24,WMT,71.97,11.01%,56.30,75.19,2.50%,15.49,16.06,5.05,0.47,2.95,224.31B,32.22B,6.96182495345,7.87,Wal-Mart Stores Inc. (WMT)
2016-08-24,XOM,87.72,20.99%,69.15,95.55,2.79%,34.84,20.07,1.91,1.78,2.14,363.74B,22.88B,15.8977272727,16.18,Exxon Mobil Corporation (XOM)
2016-08-25,AAPL,108.03,-4.33%,89.47,123.82,N/A,12.60,12.12,1.67,2.66,4.64,582.11B,63.17B,9.21497546304,8.17,Apple Inc. (AAPL)
2016-08-25,AXP,65.16,-15.24%,50.27,78.40,1.32%,11.53,11.76,1.54,1.96,2.93,60.19B,9.88B,6.09210526316,N/A,American Express Company (AXP)
2016-08-25,BA,133.29,1.08%,102.10,150.59,2.25%,23.99,13.83,1.90,0.86,143.47,83.15B,10.44B,7.96455938697,10.79,The Boeing Company (BA)
2016-08-25,CAT,83.15,9.90%,56.36,84.73,2.73%,55.43,23.36,2.32,1.17,3.22,48.58B,6.12B,7.93790849673,14.45,Caterpillar Inc. (CAT)
2016-08-25,CSCO,31.06,18.69%,22.46,31.25,2.42%,14.72,12.13,1.37,3.16,2.45,156.22B,13.57B,11.5121591746,7.94,"Cisco Systems, Inc. (CSCO)"
2016-08-25,CVX,102.20,31.63%,74.31,107.58,3.59%,N/A,21.70,2.76,1.83,1.30,192.80B,13.59B,14.1869021339,15.54,Chevron Corporation (CVX)
2016-08-25,DD,70.37,35.27%,47.11,75.72,3.02%,27.99,19.07,2.71,2.50,6.10,61.53B,2.86B,21.513986014,15.51,E. I. du Pont de Nemours and Company (DD)
2016-08-25,DIS,95.82,-6.22%,86.25,120.65,1.25%,17.22,15.73,1.54,2.75,3.69,153.99B,12.71B,12.115656963,9.87,The Walt Disney Company (DIS)
2016-08-25,GE,31.22,24.83%,23.68,33.00,3.24%,26.37,18.15,1.67,2.30,3.29,279.77B,4.59B,60.9520697168,24.06,General Electric Company (GE)
2016-08-25,GS,165.30,-12.64%,138.20,199.90,1.34%,15.67,9.64,0.66,2.49,0.94,70.48B,13.74B,5.12954876274,N/A,"The Goldman Sachs Group, Inc. (GS)"
2016-08-25,HD,135.06,14.79%,109.62,139.00,1.97%,22.86,18.81,1.53,1.83,25.27,168.02B,10.32B,16.2810077519,12.61,"The Home Depot, Inc. (HD)"
2016-08-25,IBM,159.05,7.08%,116.90,164.95,2.28%,12.93,11.27,4.13,1.91,9.74,152.03B,18.60B,8.17365591398,10.34,International Business Machines Corporation (IBM)
2016-08-25,INTC,35.15,26.80%,27.01,35.93,3.27%,17.05,12.88,2.82,2.96,2.73,166.29B,19.06B,8.72455403987,7.87,Intel Corporation (INTC)
2016-08-25,JNJ,118.71,23.37%,89.90,126.07,2.98%,22.12,16.70,2.72,4.61,4.51,324.78B,17.69B,18.3595251555,13.39,Johnson &amp; Johnson (JNJ)
2016-08-25,JPM,65.95,2.28%,52.50,69.03,2.58%,11.18,10.62,2.62,2.70,1.05,238.18B,18.38B,12.9586507073,N/A,JPMorgan Chase &amp; Co. (JPM)
2016-08-25,KO,43.85,11.66%,37.84,47.13,2.83%,25.23,21.82,7.65,4.38,7.10,189.26B,9.23B,20.5048754063,17.82,The Coca-Cola Company (KO)
2016-08-25,MCD,114.87,18.02%,92.60,131.96,3.10%,21.93,18.71,2.21,3.91,153.59,98.03B,6.32B,15.5110759494,13.27,McDonald's Corp. (MCD)
2016-08-25,MMM,179.41,24.68%,134.64,182.27,2.37%,22.90,20.32,2.45,3.61,9.14,108.44B,6.55B,16.5557251908,13.73,3M Company (MMM)
